Source,Target,Opinion
The Billhooks,The Billhooks,0.0
The Billhooks,The Brigade,1.0
The Billhooks,Bluecoats,0.0
The Billhooks,Cabbies,-1.0
The Billhooks,The Church of the Ecstasy of the Flesh,-1.0
The Billhooks,The Circle of Flame,0.0
The Billhooks,The Crows,1.0
The Billhooks,Cyphers,0.0
The Billhooks,Deathlands Scavengers,1.8295081882576874
The Billhooks,The Dimmer Sisters,0.09007792559006023
The Billhooks,Dockers,-0.75
The Billhooks,The Fog Hounds,-2.0
The Billhooks,The Forgotten Gods,0.0
The Billhooks,The Foundation,0.0
The Billhooks,Gondoliers,0.0
The Billhooks,The Gray Cloaks,0.0
The Billhooks,The Grinders,0.0
The Billhooks,The Hive,0.0
The Billhooks,The Horde,0.0
The Billhooks,Imperial Military,0.0
The Billhooks,Ink Rakes,0.0
The Billhooks,Inspectors,0.0
The Billhooks,Ironhook Prison,0.010299294006300863
The Billhooks,The Lampblacks,0.0
The Billhooks,Leviathan Hunters,0.0
The Billhooks,Lord Scurlock,-1.0
The Billhooks,The Lost,0.0
The Billhooks,Ministry of Preservation,0.0
The Billhooks,The Path of Echoes,-1.0
The Billhooks,Rail Jacks,-2.0
The Billhooks,The Reconciled,0.0
The Billhooks,The Red Sashes,0.0
The Billhooks,Sailors,-0.5711842288558933
The Billhooks,The Silver Nails,-0.9806406192296659
The Billhooks,Skovlander Refugees,0.0
The Billhooks,Sparkwrights,0.8860233165133609
The Billhooks,Spirit Wardens,0.0
The Billhooks,Ulf Ironborn,1.0
The Billhooks,The Unseen,-0.25615649136353014
The Billhooks,The Weeping Lady,0.0
The Billhooks,The Wraiths,-1.0
The Billhooks,The Players,0.0
The Brigade,The Billhooks,0.0
The Brigade,The Brigade,0.0
The Brigade,Bluecoats,0.0
The Brigade,Cabbies,0.0
The Brigade,The Church of the Ecstasy of the Flesh,0.0
The Brigade,The Circle of Flame,0.0
The Brigade,The Crows,0.0
The Brigade,Cyphers,0.0
The Brigade,Deathlands Scavengers,0.0
The Brigade,The Dimmer Sisters,0.0
